pitch_coord_sequence,pitch_types_sequence,pitch_results_sequence,ending_type,good_ending
"[(-15.504030205482772, -3.9070694801078156), (-0.6419477353768638, -2.562449641249124)]","['fastball', 'fastball']","['CALLED-STRIKE', 'SOFT-INPLAY']",soft-inplay,True
"[(9.342490882157595, 12.672050240718812), (9.119369899372522, 19.095580405551974)]","['fastball', 'fastball']","['CALLED-STRIKE', 'HARD-INPLAY']",hard-inplay,False
"[(-3.727706623724991, 18.86560313464412), (-3.9563449408806166, -5.766285566064163), (4.141240663892955, -3.750199822738088), (2.5434390910013582, 18.57487547014123), (-3.7126853541484373, 7.778704360035379), (9.605443511922473, 21.875455689667678), (6.531217141657949, 9.71759297517337), (-2.569898987489897, -19.199432886461715)]","['fastball', 'fastball', 'fastball', 'fastball', 'breaking', 'fastball', 'fastball', 'fastball']","['BALL', 'BALL', 'CALLED-STRIKE', 'FOUL', 'FOUL', 'BALL', 'FOUL', 'BALL']",walk,False
"[(-14.573017670954343, 7.126197646347456), (-3.914771823020184, 2.481536808789678), (-8.082232934315364, -1.1099657310365303), (-32.080856490438485, -11.471210184922505), (-19.628359274210997, -14.418207522762293), (8.701908449638719, -16.147722022064578), (-11.560539982488647, 9.577097458322697)]","['fastball', 'fastball', 'fastball', 'fastball', 'fastball', 'breaking', 'fastball']","['CALLED-STRIKE', 'FOUL', 'FOUL', 'BALL', 'BALL', 'BALL', 'CALLED-STRIKE']",strikeout,True
"[(-13.207237962518919, -15.126597408456217), (2.200011432976644, -5.007245524607639)]","['breaking', 'fastball']","['BALL', 'HARD-INPLAY']",hard-inplay,False
"[(-5.76418008179378, 11.92028486120004), (10.639824306961081, 10.113502247393006), (-2.084654120983643, -4.878446600028339), (-5.171402659193866, -13.810414310956318), (-4.089970631786363, 1.5955085294803013), (-4.268947317180085, -12.262683437891877), (-7.459756764181635, 16.720447993664138), (-30.553193842911092, -21.217159381397135)]","['fastball', 'breaking', 'breaking', 'breaking', 'fastball', 'breaking', 'fastball', 'fastball']","['CALLED-STRIKE', 'BALL', 'CALLED-STRIKE', 'BALL', 'FOUL', 'FOUL', 'BALL', 'BALL']",walk,False
"[(-11.104035335792801, -0.7304650801332979), (-5.2312977144794335, 7.161516605313634), (-1.628309116039895, 18.70132309857778), (-0.5511143016399295, -2.368590199450455), (-20.48286092850016, 8.199504948655672), (-24.63547078789088, -16.970007591829788), (3.125164140451197, -4.75954849634494)]","['fastball', 'fastball', 'fastball', 'breaking', 'fastball', 'fastball', 'fastball']","['CALLED-STRIKE', 'FOUL', 'BALL', 'FOUL', 'BALL', 'BALL', 'CALLED-STRIKE']",strikeout,True
"[(10.684070170755588, 10.67728666933174), (15.505688939522575, 4.116712738920649), (1.8908686960489602, 3.2019400434549046), (-6.723482601260431, -2.7844778072799357), (-20.509624854651918, 0.4738984279861289), (-14.253007507649983, -24.38043930107851), (-0.532273415576295, -10.59416031583701)]","['fastball', 'fastball', 'fastball', 'breaking', 'fastball', 'fastball', 'breaking']","['BALL', 'CALLED-STRIKE', 'CALLED-STRIKE', 'FOUL', 'FOUL', 'BALL', 'HARD-INPLAY']",hard-inplay,False
"[(-15.875035176958114, -20.28771650715132), (1.507130915400358, -4.852276552505812)]","['fastball', 'fastball']","['BALL', 'HARD-INPLAY']",hard-inplay,False
"[(0.9392170054158138, -1.9686610058828151)]",['fastball'],['SOFT-INPLAY'],soft-inplay,True
